group,matchday,match_id,team_a,team_b,predicted_score,pick_principal,critical_alternative,tempting_option,quinigol_team,quinigol_minute,quinigol_range,halftime_fulltime,confidence,risk,robustness,research_status,missing_critical_data,notes
A,pending_verification,WG-A-01,Mexico,South Africa,1-0,1-0,2-0,2-0,Mexico anota gol recomendado,minuto 25,17-33,Mexico/Mexico,52.34,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
A,pending_verification,WG-A-02,South Korea,Czechia,1-0,1-0,1-1,2-1,South Korea anota gol recomendado,minuto 32,24-40,Empate/South Korea,39.56,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
A,pending_verification,WG-A-03,Czechia,South Africa,1-0,1-0,1-1,2-1,Czechia anota gol recomendado,minuto 32,24-40,Empate/Czechia,39.92,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
A,pending_verification,WG-A-04,Mexico,South Korea,1-0,1-0,1-1,2-1,Mexico anota gol recomendado,minuto 31,23-39,Empate/Mexico,39.98,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
A,pending_verification,WG-A-05,Czechia,Mexico,0-1,0-1,1-1,0-2,Mexico anota gol recomendado,minuto 28,20-36,Empate/Mexico,46.08,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
A,pending_verification,WG-A-06,South Africa,South Korea,0-1,0-1,1-1,0-2,South Korea anota gol recomendado,minuto 28,20-36,Empate/South Korea,46.05,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
B,pending_verification,WG-B-01,Canada,Bosnia and Herzegovina,1-0,1-0,1-1,2-0,Canada anota gol recomendado,minuto 29,21-37,Empate/Canada,45.81,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
B,pending_verification,WG-B-02,Qatar,Switzerland,0-1,0-1,none,0-2,Switzerland anota gol recomendado,minuto 27,19-35,Empate/Switzerland,48.36,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
B,pending_verification,WG-B-03,Switzerland,Bosnia and Herzegovina,1-0,1-0,2-0,2-0,Switzerland anota gol recomendado,minuto 25,17-33,Switzerland/Switzerland,52.15,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
B,pending_verification,WG-B-04,Canada,Qatar,1-0,1-0,1-1,2-1,Canada anota gol recomendado,minuto 30,22-38,Empate/Canada,41.84,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
B,pending_verification,WG-B-05,Switzerland,Canada,1-0,1-0,1-1,2-1,Switzerland anota gol recomendado,minuto 31,23-39,Empate/Switzerland,39.92,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
B,pending_verification,WG-B-06,Bosnia and Herzegovina,Qatar,0-1,0-1,1-1,1-2,Qatar anota gol recomendado,minuto 34,26-42,Empate/Qatar,37.4,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
C,pending_verification,WG-C-01,Brazil,Morocco,1-2,1-2,0-0,none,Morocco anota gol recomendado,minuto 27,19-35,Morocco/Morocco,33.97,medio,cauteloso,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
C,pending_verification,WG-C-02,Haiti,Scotland,0-1,0-1,none,0-2,Scotland anota gol recomendado,minuto 27,19-35,Empate/Scotland,48.89,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
C,pending_verification,WG-C-03,Scotland,Morocco,0-1,0-1,0-2,0-2,Morocco anota gol recomendado,minuto 25,17-33,Morocco/Morocco,51.34,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
C,pending_verification,WG-C-04,Brazil,Haiti,2-0,2-0,1-0,none,Brazil anota gol recomendado,minuto 14,6-22,Brazil/Brazil,56.23,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
C,pending_verification,WG-C-05,Scotland,Brazil,0-1,0-1,none,0-2,Brazil anota gol recomendado,minuto 26,18-34,Empate/Brazil,50.13,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
C,pending_verification,WG-C-06,Morocco,Haiti,2-0,2-0,1-0,none,Morocco anota gol recomendado,minuto 14,6-22,Morocco/Morocco,56.63,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
D,pending_verification,WG-D-01,USA,Paraguay,1-0,1-0,1-1,2-0,USA anota gol recomendado,minuto 28,20-36,Empate/USA,45.39,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
D,pending_verification,WG-D-02,Australia,Türkiye,1-2,1-2,0-0,none,Türkiye anota gol recomendado,minuto 28,20-36,Türkiye/Türkiye,33.94,medio,cauteloso,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
D,pending_verification,WG-D-03,Türkiye,Paraguay,1-0,1-0,1-1,2-1,Türkiye anota gol recomendado,minuto 31,23-39,Empate/Türkiye,40.18,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
D,pending_verification,WG-D-04,USA,Australia,1-0,1-0,1-1,2-1,USA anota gol recomendado,minuto 31,23-39,Empate/USA,39.94,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
D,pending_verification,WG-D-05,Türkiye,USA,0-1,0-1,1-1,1-2,USA anota gol recomendado,minuto 32,24-40,Empate/USA,38.59,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
D,pending_verification,WG-D-06,Paraguay,Australia,0-1,0-1,1-1,1-2,Australia anota gol recomendado,minuto 32,24-40,Empate/Australia,38.8,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
E,pending_verification,WG-E-01,Cote d'Ivoire,Ecuador,0-1,0-1,1-1,1-2,Ecuador anota gol recomendado,minuto 33,25-41,Empate/Ecuador,37.78,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
E,pending_verification,WG-E-02,Germany,Curacao,2-0,2-0,1-0,none,Germany anota gol recomendado,minuto 14,6-22,Germany/Germany,56.02,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
E,pending_verification,WG-E-03,Germany,Cote d'Ivoire,1-0,1-0,1-1,2-0,Germany anota gol recomendado,minuto 27,19-35,Empate/Germany,47.26,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
E,pending_verification,WG-E-04,Ecuador,Curacao,2-0,2-0,1-0,none,Ecuador anota gol recomendado,minuto 17,9-25,Ecuador/Ecuador,53.24,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
E,pending_verification,WG-E-05,Curacao,Cote d'Ivoire,0-1,0-1,none,0-2,Cote d'Ivoire anota gol recomendado,minuto 26,18-34,Empate/Cote d'Ivoire,50.84,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
E,pending_verification,WG-E-06,Ecuador,Germany,0-1,0-1,1-1,1-2,Germany anota gol recomendado,minuto 29,21-37,Empate/Germany,42.92,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
F,pending_verification,WG-F-01,Netherlands,Japan,1-0,1-0,1-1,2-1,Netherlands anota gol recomendado,minuto 31,23-39,Empate/Netherlands,40.32,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
F,pending_verification,WG-F-02,Sweden,Tunisia,1-0,1-0,0-1,2-1,Sweden anota gol recomendado,minuto 35,27-43,Empate/Sweden,35.42,medio,cauteloso,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
F,pending_verification,WG-F-03,Netherlands,Sweden,1-0,1-0,none,2-0,Netherlands anota gol recomendado,minuto 26,18-34,Empate/Netherlands,50.45,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
F,pending_verification,WG-F-04,Tunisia,Japan,0-1,0-1,1-1,0-2,Japan anota gol recomendado,minuto 28,20-36,Empate/Japan,45.85,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
F,pending_verification,WG-F-05,Japan,Sweden,1-0,1-0,1-1,2-0,Japan anota gol recomendado,minuto 29,21-37,Empate/Japan,43.66,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
